,Kream번호,제품명,가격,발매가,발매일,브랜드
0,85785,(W) UGG Classic Clear Mini Boots Natural Black,159000.0,160.0,정보 없음,UGG
1,84286,(W) UGG Classic Short II Boots Chestnut,199000.0,170.0,정보 없음,UGG
2,84285,(W) UGG Classic Mini II Boots Chestnut,93000.0,150.0,정보 없음,UGG
3,110768,(W) UGG Sport Yeah Slide Black,80000.0,60.0,정보 없음,UGG
4,84295,(W) UGG Scuffette II Slipper Chestnut,74000.0,95.0,정보 없음,UGG
5,84828,(W) UGG Disquette Slipper Charcoal,130000.0,100.0,정보 없음,UGG
6,84282,(W) UGG Disquette Slipper Chestnut,129000.0,100.0,정보 없음,UGG
7,84299,(W) UGG Disquette Slipper Black,115000.0,100.0,정보 없음,UGG
8,84601,(W) UGG Classic Mini II Boots Black,135000.0,150.0,정보 없음,UGG
9,84603,(W) UGG Classic Ultra Mini Boots Black,169000.0,140.0,정보 없음,UGG
10,84638,(W) UGG Coquette Slipper Grey,90000.0,120.0,정보 없음,UGG
11,84300,(W) UGG Coquette Slipper Black,99000.0,120.0,정보 없음,UGG
12,84284,(W) UGG Classic Ultra Mini Boots Chestnut,168000.0,140.0,정보 없음,UGG
13,88635,(W) UGG Scuffette II Slipper Black Grey,119000.0,95.0,정보 없음,UGG
14,85475,(W) UGG Dakota Chestnut,140000.0,100.0,정보 없음,UGG
15,86846,(W) UGG Classic Mini II Boots Grey,100000.0,150.0,정보 없음,UGG
16,84293,(W) UGG Fluff Yeah Slides Chestnut,151000.0,100.0,정보 없음,UGG
17,88274,(W) UGG Classic Short II Boots Grey,213000.0,170.0,정보 없음,UGG
18,88637,(W) UGG Scuff Sis Chestnut,55000.0,100.0,정보 없음,UGG
19,84283,(W) UGG Coquette Slipper Chestnut,129000.0,120.0,정보 없음,UGG
20,88636,(W) UGG Scuffette II Slipper Espresso,50000.0,95.0,정보 없음,UGG
21,90646,(W) UGG Fluff Yeah Slide Natural,179000.0,100.0,정보 없음,UGG
22,110771,(W) UGG Sport Yeah Slide Bright White,78000.0,60.0,정보 없음,UGG
23,87510,(W) UGG Classic Clear Mini Boots Black,169000.0,160.0,정보 없음,UGG
24,90811,(Kids) UGG Classic Clear Mini II Natural Black,140000.0,125.0,정보 없음,UGG
25,84296,(W) UGG Funkette Slides Chestnut,170000.0,130.0,정보 없음,UGG
26,84291,(W) UGG Tasman Slipper Chestnut,170000.0,100.0,정보 없음,UGG
27,88444,UGG Tasman Slipper Chestnut,120000.0,100.0,정보 없음,UGG
28,85474,(W) UGG Dakota Black,정보 없음,100.0,정보 없음,UGG
29,115697,UGG x Palace Lightning Classic Short Boot Chestnut,정보 없음,250.0,2023-03-31T00:00:00Z,UGG
30,85479,(W) UGG Classic Ultra Mini Platform Boots Chestnut,300000.0,150.0,정보 없음,UGG
31,84288,(W) UGG Mini Bailey Button II Boots Chestnut,203000.0,155.0,정보 없음,UGG
32,91783,(W) UGG Classic Mini II Boots Goat,229000.0,150.0,정보 없음,UGG
33,91769,(Kids) UGG Fluff Yeah Clog Natural,72000.0,75.0,정보 없음,UGG
34,88640,(W) UGG Classic Short II Boots Black,120000.0,170.0,정보 없음,UGG
35,88634,(W) UGG Mini Bailey Button II Boots Black,233000.0,155.0,정보 없음,UGG
36,137528,(Kids) UGG Sport Yeah Bright White,75000.0,45.0,정보 없음,UGG
37,88283,UGG x Telfar Logo Mini Black,정보 없음,250.0,정보 없음,UGG
38,88280,UGG x Telfar Logo Mini Chestnut,418000.0,250.0,정보 없음,UGG
39,88259,UGG Scuff Chestnut,120000.0,90.0,정보 없음,UGG
40,85157,(W) UGG Classic Mini Platform Boots Chestnut,255000.0,160.0,정보 없음,UGG
41,84602,(W) UGG Funkette Slides Black,194000.0,130.0,정보 없음,UGG
42,84297,(W) UGG Tazzette Slipper Chestnut,188000.0,100.0,정보 없음,UGG
43,116084,UGG x Palace Lightning Classic Short Boot Black,600000.0,250.0,2023-03-31T00:00:00Z,UGG
44,137527,(Kids) UGG Sport Yeah Black,71000.0,45.0,정보 없음,UGG
45,91401,(Kids) UGG Fluff Yeah Clog Black,70000.0,75.0,정보 없음,UGG
46,86845,(W) UGG Classic Ultra Mini Boots Grey,198000.0,140.0,정보 없음,UGG
47,86604,(W) UGG Classic Ultra Mini Boots Sand,289000.0,140.0,정보 없음,UGG
48,84287,(W) UGG Classic Tall II Boots Chestnut,200000.0,200.0,정보 없음,UGG
49,88629,UGG Classic Short Boots Chestnut,160000.0,170.0,정보 없음,UGG
50,88258,UGG Tasman Black,90000.0,100.0,정보 없음,UGG
51,87597,(W) UGG Classic Ultra Mini Boots Antilope,215000.0,140.0,정보 없음,UGG
52,84637,(W) UGG Classic Short II Boots Chocolate,248000.0,170.0,정보 없음,UGG
53,84292,(W) UGG Tazz Slipper Chestnut,350000.0,120.0,정보 없음,UGG
54,90810,(Kids) UGG Classic Clear Mini II Black,159000.0,125.0,정보 없음,UGG
55,126396,(W) UGG LA Cloud Sport Sandal Black,145000.0,19800.0,정보 없음,UGG
56,93246,(W) UGG Classic Short Leather Boots Black,정보 없음,정보 없음,정보 없음,UGG
57,92736,(W) UGG Scuffette II Slipper Horizon Pink,159000.0,95.0,정보 없음,UGG
58,92344,(Kids) UGG Tasman II Slipper Chestnut,240000.0,70.0,정보 없음,UGG
59,91784,(W) UGG Tazz Maxi Tasman Chestnut,정보 없음,정보 없음,정보 없음,UGG
